Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST00001,0,34,beauty,3,50,150
2,2023-02-27,CUST00002,1,26,clothing,2,500,1000
3,2023-01-13,CUST00003,0,50,electronics,1,30,30
4,2023-05-21,CUST00004,0,37,clothing,1,500,500
5,2023-05-06,CUST00005,0,30,beauty,2,50,100
6,2023-04-25,CUST00006,1,45,beauty,1,30,30
7,2023-03-13,CUST00007,0,46,clothing,2,25,50
8,2023-02-22,CUST00008,0,30,electronics,4,25,100
9,2023-12-13,CUST00009,0,63,electronics,2,300,600
10,2023-10-07,CUST00010,1,52,clothing,4,50,200
11,2023-02-14,CUST00011,0,23,clothing,2,50,100
12,2023-10-30,CUST00012,0,35,beauty,3,25,75
13,2023-08-05,CUST00013,0,22,electronics,3,500,1500
14,2023-01-17,CUST00014,0,64,clothing,4,30,120
15,2023-01-16,CUST00015,1,42,electronics,4,500,2000
16,2023-02-17,CUST00016,0,19,clothing,3,500,1500
17,2023-04-22,CUST00017,1,27,clothing,4,25,100
18,2023-04-30,CUST00018,1,47,electronics,2,25,50
19,2023-09-16,CUST00019,1,62,clothing,2,25,50
20,2023-11-05,CUST00020,0,22,clothing,3,300,900
21,2023-01-14,CUST00021,1,50,beauty,1,500,500
22,2023-10-15,CUST00022,0,18,clothing,2,50,100
23,2023-04-12,CUST00023,1,35,clothing,4,30,120
24,2023-11-29,CUST00024,1,49,clothing,1,300,300
25,2023-12-26,CUST00025,1,64,beauty,1,50,50
26,2023-10-07,CUST00026,1,28,electronics,2,500,1000
27,2023-08-03,CUST00027,1,38,beauty,2,25,50
28,2023-04-23,CUST00028,1,43,beauty,1,500,500
29,2023-08-18,CUST00029,1,42,electronics,1,30,30
30,2023-10-29,CUST00030,1,39,beauty,3,300,900
31,2023-05-23,CUST00031,0,44,electronics,4,300,1200
32,2023-01-04,CUST00032,0,30,beauty,3,30,90
33,2023-03-23,CUST00033,1,50,electronics,2,50,100
34,2023-12-24,CUST00034,1,51,clothing,3,50,150
